150987,Ivy Tech Community College,21216
227182,Lone Star College System,20522
228547,Tarrant County College District,15290
135717,Miami Dade College,14767
138187,Valencia College,14564
132903,University of Central Florida,13778
225423,Houston Community College,13221
222992,Austin Community College District,12727
104717,Grand Canyon University,12687
228723,Texas A & M University-College Station,12651
